site,Slot 00,Slot 01,Slot 02,Slot 03,Slot 04,Slot 05
PEO0002-PEO0010,UBBPg3b,UBBPg3a,UBBPg3a,,UBBPg3b,
PEO0001,,,UBBPg3b,,UBBPg3b,
SMU0001-SMU0006-SMU0005,UBBPg3a,,UBBPg3b,,UBBPg3b,
PFR0001-PFR0006,UBBPg2c,,UBBPg3b,,UBBPg3b,
PFR0002-PFR0005,UBBPg2c,,UBBPg3b,,UBBPg3b,
PFR0003,,,,,UBBPg3b,
LNT0002,,,UBBPg2a,,UBBPg3b,
LNT0004,,,,,UBBPg3b,
LNT0003,,,,,UBBPg3b,
LNT0001,,,UBBPg3b,,UBBPg3b,
JGE0003-JGE0001-JGE0002,UBBPg3a,,UBBPg3a,,UBBPg3b,
QXA0003,,,,,UBBPg3b,
VAVR0001,,,UBBPg3b,,UBBPg3b,
ICA0001,,,,,UBBPg3b,
RUS0002,,,,,UBBPg3b,
RUS0004,,,,,UBBPg3b,
RUS0001-RUS0013,,,UBBPg2c,,UBBPg3b,
DRV0001,,,,,UBBPg3b,
CJA0001,,,,,UBBPg3b,
JNE0020,,,UBBPg2a,,UBBPg3b,
JNE0014,,,UBBPg2a,,UBBPg3a,
JNE0018,,,UBBPg2c,,UBBPg3b,
ICO0001,,,UBBPg3b,,UBBPg3b,
JNE0006,,,,,UBBPg3b,
ACR0001,,,,,UBBPg3b,
MVA0001,,,,,UBBPg3b,
QXM0004,,,,,UBBPg3b,
QXM0005,,,,,UBBPg3a,
TNT0001-TNT0007,UBBPg2c,,,,UBBPg3b,
JNE0022,,,UBBPg2a,,UBBPg3b,
IOP0004,,,UBBPg2a,,UBBPg3b,
IOP0003,,,,,UBBPg3b,
QXA0002,,,,,UBBPg3b,
IOP0002,,,,,UBBPg3a,
JNE0019,,,UBBPg3b,,UBBPg3b,
QXM0001-QXM0010-QXM0009,,,UBBPg2c,,UBBPg3b,
ACR0002,,,,,UBBPg3b,
HZT0001,,,,,UBBPg3b,
HZT0002,,,UBBPg3b,,UBBPg3b,
HZT0004,,,UBBPg3b,,UBBPg3b,
JNE0002,,,UBBPg2a,,UBBPg3b,
PEO0015,,,,,UBBPg3b,
QXM0002,,,,,UBBPg3a,
JNE0031,,,,,UBBPg3b,
IOP0005,,,UBBPg2a,,UBBPg3b,
JNE0028,,,UBBPg3b,,UBBPg3b,
PJS0003,,,,,UBBPg3b,
PJS0004,,,,,UBBPg3a,
PJS0005,,,,,UBBPg3b,
HZT0003,,,UBBPg2a,,UBBPg3b,
HZT0005,,,,,UBBPg3b,
MCW0012,,,,,UBBPg3a,
JNE0004,,,UBBPg2a,,UBBPg3b,
MCW0014,,,UBBPg2a,,UBBPg3b,
MCW0009,,,UBBPg2a,,UBBPg3b,
BBH0002,,,UBBPg3b,,UBBPg3b,
BBH0001,,,UBBPg2a,,UBBPg3b,
IOP0006,,,,,UBBPg3b,
BBH0003,,,UBBPg2a,,UBBPg3b,
CTO0003,,,,,UBBPg3b,
JNE0011,,,UBBPg3b,,UBBPg3b,
JNE0005,,,,,UBBPg3b,
IOP0001,,,UBBPg2a,,UBBPg3b,
CTO0010,,,,,UBBPg2c,
CTO0006,,,,,UBBPg3b,
CTO0005,,,,,UBBPg3b,
JNE0013,,,,,UBBPg3b,
JNE0026,,,,,UBBPg3b,
CIE0004,,,,,UBBPg3b,
CIE0003,,,,,UBBPg3b,
CTO0011,,,,,UBBPg3b,
CTO0012,,,,,UBBPg3b,
